num_records,enc_with_test_s,enc_without_test_s,dec_with_test_s,dec_without_test_s
100,0.0023776250891387463,0.002609292045235634,0.00028687482699751854,0.0002961251884698868
1000,0.01899770786985755,0.02006250014528632,0.0024475003592669964,0.002212833147495985
2000,0.03892491664737463,0.038662165869027376,0.004472333937883377,0.004294833168387413
3000,0.06002408266067505,0.05627558287233114,0.007279166951775551,0.006730999797582626
4000,0.07784716691821814,0.07896558288484812,0.009843708015978336,0.010394500102847815
5000,0.09868383407592773,0.10550837498158216,0.01155208284035325,0.011495457962155342
6000,0.11678720824420452,0.1159736248664558,0.014724666718393564,0.012857957743108273
7000,0.13366437517106533,0.13130145892500877,0.01621141703799367,0.01593399979174137
8000,0.15480295894667506,0.15196920884773135,0.017805958166718483,0.018687166273593903
9000,0.1731094168499112,0.17621437506750226,0.022666707634925842,0.019537624903023243
10000,0.19256420759484172,0.18693125015124679,0.022593291010707617,0.021445542108267546
